Normalization_Method,control shannon_mean(sd) at low depth,Low case shannon mean( sd),Counts of sig p_value at low depth,Counts of nonsig p_value at low depth,control shannon mean( sd) at high depth,case shannon mean( sd) high,Counts of sig p_value at high depth,Counts of nonsig p_value at high depth,control shannon mean( sd) at full depth,case shannon mean( sd) at full depth,Count of sig p_value at full depth,Counts of nonsig p_value at full depth
CLR,2.9331 (0.0118),2.9343 (0.0132),6,94,2.8074 (0.0086),2.8086 (0.0088),8,92,2.8645 (0.0065),2.8660 (0.0077),6,94
CSS,2.5047 (0.0138),2.5016 (0.0158),0,100,2.5630 (0.0109),2.5637 (0.0107),4,96,2.5368 (0.0077),2.5360 (0.0080),4,96
DESeq2,2.5047 (0.0138),2.5016 (0.0158),0,100,2.5630 (0.0109),2.5637 (0.0107),4,96,2.5368 (0.0077),2.5360 (0.0080),4,96
RAREFY,2.4706 (0.0163),2.4677 (0.0168),2,98,2.4678 (0.0181),2.4664 (0.0167),7,93,2.4689 (0.0104),2.4677 (0.0103),6,94
TSS,2.5047 (0.0138),2.5016 (0.0158),0,100,2.5630 (0.0109),2.5637 (0.0107),4,96,2.5368 (0.0077),2.5360 (0.0080),4,96
counts,2.5047 (0.0138),2.5016 (0.0158),0,100,2.5630 (0.0109),2.5637 (0.0107),4,96,2.5368 (0.0077),2.5360 (0.0080),4,96
edgeR,2.5047 (0.0138),2.5016 (0.0158),0,100,2.5630 (0.0109),2.5637 (0.0107),4,96,2.5368 (0.0077),2.5360 (0.0080),4,96
