Normalization_Method,control shannon_mean(sd) at low depth,Low case shannon mean( sd),Counts of sig p_value at low depth,Counts of nonsig p_value at low depth,control shannon mean( sd) at high depth,case shannon mean( sd) high,Counts of sig p_value at high depth,Counts of nonsig p_value at high depth,control shannon mean( sd) at full depth,case shannon mean( sd) at full depth,Count of sig p_value at full depth,Counts of nonsig p_value at full depth
CLR,1.0389 (0.0065),1.0112 (0.0051),88,12,1.0186 (0.0065),1.0026 (0.0038),67,33,1.0279 (0.0039),1.0067 (0.0024),99,1
CSS,0.9767 (0.0078),0.9898 (0.0054),18,82,0.9874 (0.0070),0.9921 (0.0039),14,86,0.9830 (0.0044),0.9914 (0.0025),32,68
DESeq2,0.9767 (0.0078),0.9898 (0.0054),18,82,0.9874 (0.0070),0.9921 (0.0039),14,86,0.9830 (0.0044),0.9914 (0.0025),32,68
RAREFY,0.9725 (0.0085),0.9758 (0.0099),1,99,0.9745 (0.0107),0.9723 (0.0108),10,90,0.9735 (0.0063),0.9738 (0.0061),8,92
TSS,0.9767 (0.0078),0.9898 (0.0054),18,82,0.9874 (0.0070),0.9921 (0.0039),14,86,0.9830 (0.0044),0.9914 (0.0025),32,68
counts,0.9767 (0.0078),0.9898 (0.0054),18,82,0.9874 (0.0070),0.9921 (0.0039),14,86,0.9830 (0.0044),0.9914 (0.0025),32,68
edgeR,0.9767 (0.0078),0.9898 (0.0054),18,82,0.9874 (0.0070),0.9921 (0.0039),14,86,0.9830 (0.0044),0.9914 (0.0025),32,68
